AL627309.1	AL627309.1
AL627309.5	AL627309.5
LINC01409	LINC01409
LINC01128	LINC01128
LINC00115	LINC00115
FAM41C	FAM41C
AL645608.2	AL645608.2
SAMD11	SAMD11
NOC2L	NOC2L
KLHL17	KLHL17
PLEKHN1	PLEKHN1
PERM1	PERM1
AL645608.7	AL645608.7
HES4	HES4
ISG15	ISG15
AL645608.1	AL645608.1
AGRN	AGRN
C1orf159	C1orf159
AL390719.3	AL390719.3
AL390719.2	AL390719.2
TTLL10	TTLL10
TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4
SDF4	SDF4
B3GALT6	B3GALT6
C1QTNF12	C1QTNF12
AL162741.1	AL162741.1
UBE2J2	UBE2J2
SCNN1D	SCNN1D
ACAP3	ACAP3
PUSL1	PUSL1
INTS11	INTS11
CPTP	CPTP
TAS1R3	TAS1R3
DVL1	DVL1
MXRA8	MXRA8
AURKAIP1	AURKAIP1
CCNL2	CCNL2
MRPL20-AS1	MRPL20-AS1
MRPL20	MRPL20
AL391244.2	AL391244.2
ANKRD65	ANKRD65
VWA1	VWA1
ATAD3C	ATAD3C
ATAD3B	ATAD3B
ATAD3A	ATAD3A
TMEM240	TMEM240
SSU72	SSU72
AL645728.1	AL645728.1
FNDC10	FNDC10
AL691432.4	AL691432.4
AL691432.2	AL691432.2
MIB2	MIB2
MMP23B	MMP23B
CDK11B	CDK11B
FO704657.1	FO704657.1
SLC35E2B	SLC35E2B
CDK11A	CDK11A
SLC35E2A	SLC35E2A
NADK	NADK
GNB1	GNB1
AL109917.1	AL109917.1
TMEM52	TMEM52
CFAP74	CFAP74
GABRD	GABRD
PRKCZ	PRKCZ
AL590822.2	AL590822.2
PRKCZ-AS1	PRKCZ-AS1
FAAP20	FAAP20
SKI	SKI
AL590822.3	AL590822.3
MORN1	MORN1
AL513477.2	AL513477.2
RER1	RER1
PEX10	PEX10
PLCH2	PLCH2
PANK4	PANK4
HES5	HES5
AL139246.5	AL139246.5
TNFRSF14-AS1	TNFRSF14-AS1
TNFRSF14	TNFRSF14
AL139246.3	AL139246.3
PRXL2B	PRXL2B
MMEL1	MMEL1
TTC34	TTC34
AL590438.1	AL590438.1
MEGF6	MEGF6
TPRG1L	TPRG1L
WRAP73	WRAP73
TP73	TP73
SMIM1	SMIM1
LRRC47	LRRC47
CEP104	CEP104
DFFB	DFFB
C1orf174	C1orf174
LINC01134	LINC01134
NPHP4	NPHP4
KCNAB2	KCNAB2
CHD5	CHD5
RPL22	RPL22
AL031847.1	AL031847.1
RNF207	RNF207
ICMT	ICMT
LINC00337	LINC00337
GPR153	GPR153
ACOT7	ACOT7
AL031848.2	AL031848.2
HES2	HES2
ESPN	ESPN
TNFRSF25	TNFRSF25
PLEKHG5	PLEKHG5
NOL9	NOL9
ZBTB48	ZBTB48
KLHL21	KLHL21
PHF13	PHF13
THAP3	THAP3
DNAJC11	DNAJC11
LINC01672	LINC01672
AL591163.1	AL591163.1
CAMTA1-DT	CAMTA1-DT
CAMTA1	CAMTA1
VAMP3	VAMP3
Z98884.2	Z98884.2
PER3	PER3
UTS2	UTS2
TNFRSF9	TNFRSF9
PARK7	PARK7
AL034417.4	AL034417.4
AL034417.3	AL034417.3
ERRFI1	ERRFI1
AL034417.2	AL034417.2
SLC45A1	SLC45A1
RERE	RERE
RERE-AS1	RERE-AS1
ENO1	ENO1
ENO1-AS1	ENO1-AS1
SLC2A5	SLC2A5
GPR157	GPR157
MIR34AHG	MIR34AHG
LNCTAM34A	LNCTAM34A
H6PD	H6PD
SPSB1	SPSB1
LINC02606	LINC02606
SLC25A33	SLC25A33
TMEM201	TMEM201
PIK3CD	PIK3CD
PIK3CD-AS1	PIK3CD-AS1
PIK3CD-AS2	PIK3CD-AS2
CLSTN1	CLSTN1
CTNNBIP1	CTNNBIP1
LZIC	LZIC
AL357140.2	AL357140.2
NMNAT1	NMNAT1
RBP7	RBP7
UBE4B	UBE4B
KIF1B	KIF1B
AL139424.3	AL139424.3
AL139424.2	AL139424.2
PGD	PGD
CENPS	CENPS
CORT	CORT
DFFA	DFFA
PEX14	PEX14
CASZ1	CASZ1
AL139423.1	AL139423.1
C1orf127	C1orf127
TARDBP	TARDBP
MASP2	MASP2
AL109811.2	AL109811.2
SRM	SRM
EXOSC10	EXOSC10
AL109811.1	AL109811.1
MTOR	MTOR
UBIAD1	UBIAD1
AL031731.1	AL031731.1
FBXO2	FBXO2
FBXO44	FBXO44
FBXO6	FBXO6
MAD2L2	MAD2L2
DRAXIN	DRAXIN
AGTRAP	AGTRAP
C1orf167	C1orf167
MTHFR	MTHFR
CLCN6	CLCN6
AL021155.5	AL021155.5
KIAA2013	KIAA2013
PLOD1	PLOD1
AL096840.2	AL096840.2
MFN2	MFN2
MIIP	MIIP
TNFRSF8	TNFRSF8
TNFRSF1B	TNFRSF1B
VPS13D	VPS13D
DHRS3	DHRS3
PDPN	PDPN
PRDM2	PRDM2
KAZN	KAZN
TMEM51-AS1	TMEM51-AS1
TMEM51	TMEM51
FHAD1	FHAD1
AL031283.1	AL031283.1
EFHD2	EFHD2
CTRC	CTRC
CELA2A	CELA2A
CASP9	CASP9
DNAJC16	DNAJC16
AGMAT	AGMAT
AL121992.1	AL121992.1
DDI2	DDI2
AL121992.2	AL121992.2
PLEKHM2	PLEKHM2
SLC25A34	SLC25A34
FBLIM1	FBLIM1
UQCRHL	UQCRHL
AL450998.2	AL450998.2
SPEN	SPEN
ZBTB17	ZBTB17
EPHA2	EPHA2
ARHGEF19	ARHGEF19
AL109627.1	AL109627.1
CPLANE2	CPLANE2
FBXO42	FBXO42
SZRD1	SZRD1
SPATA21	SPATA21
NECAP2	NECAP2
LINC01772	LINC01772
AL137802.2	AL137802.2
NBPF1	NBPF1
CROCC	CROCC
BX284668.5	BX284668.5
BX284668.6	BX284668.6
MFAP2	MFAP2
ATP13A2	ATP13A2
SDHB	SDHB
PADI2	PADI2
PADI4	PADI4
RCC2	RCC2
ARHGEF10L	ARHGEF10L
IGSF21	IGSF21
ALDH4A1	ALDH4A1
IFFO2	IFFO2
AL137127.1	AL137127.1
UBR4	UBR4
EMC1-AS1	EMC1-AS1
EMC1	EMC1
MRTO4	MRTO4
AKR7A2	AKR7A2
SLC66A1	SLC66A1
CAPZB	CAPZB
MICOS10	MICOS10
NBL1	NBL1
TMCO4	TMCO4
OTUD3	OTUD3
PLA2G2D	PLA2G2D
Z98257.1	Z98257.1
PLA2G2C	PLA2G2C
UBXN10-AS1	UBXN10-AS1
UBXN10	UBXN10
CAMK2N1	CAMK2N1
MUL1	MUL1
CDA	CDA
PINK1	PINK1
PINK1-AS	PINK1-AS
DDOST	DDOST
KIF17	KIF17
SH2D5	SH2D5
HP1BP3	HP1BP3
EIF4G3	EIF4G3
AL031005.2	AL031005.2
ECE1	ECE1
AL031005.1	AL031005.1
AL031728.1	AL031728.1
NBPF3	NBPF3
ALPL	ALPL
USP48	USP48
LDLRAD2	LDLRAD2
HSPG2	HSPG2
LINC01635	LINC01635
LINC00339	LINC00339
CDC42	CDC42
CDC42-AS1	CDC42-AS1
CDC42-IT1	CDC42-IT1
WNT4	WNT4
ZBTB40	ZBTB40
C1QA	C1QA
C1QC	C1QC
C1QB	C1QB
EPHB2	EPHB2
KDM1A	KDM1A
LUZP1	LUZP1
LINC01355	LINC01355
AL109936.6	AL109936.6
HNRNPR	HNRNPR
ZNF436	ZNF436
ZNF436-AS1	ZNF436-AS1
TCEA3	TCEA3
E2F2	E2F2
ID3	ID3
RPL11	RPL11
ELOA-AS1	ELOA-AS1
ELOA	ELOA
PITHD1	PITHD1
LYPLA2	LYPLA2
GALE	GALE
HMGCL	HMGCL
FUCA1	FUCA1
CNR2	CNR2
PNRC2	PNRC2
SRSF10	SRSF10
IFNLR1	IFNLR1
STPG1	STPG1
NIPAL3	NIPAL3
RCAN3AS	RCAN3AS
RCAN3	RCAN3
NCMAP-DT	NCMAP-DT
NCMAP	NCMAP
SRRM1	SRRM1
CLIC4	CLIC4
RUNX3	RUNX3
AL445471.2	AL445471.2
AL031432.1	AL031432.1
SYF2	SYF2
AL031432.4	AL031432.4
AL031432.5	AL031432.5
RSRP1	RSRP1
AL031432.3	AL031432.3
RHD	RHD
TMEM50A	TMEM50A
RHCE	RHCE
MACO1	MACO1
